,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
396,Jaden Schwartz\schwaja01,26,STL,C,69,13,0.16,0.36,0.52,0.18,0.23,2.65,11,25,36,13,57,14,52,3,-6,52.2,39.5,12.7,1.2,1.4,2.6,0,,,
397,Jake Allen\allenja01,28,STL,G,46,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,115,27,121,24,0,89.8,91.1,,0.0,0.0,6.5,0,,,
398,Jake Bean\beanja01,20,CAR,D,2,0,0.00,0.00,0.00,0.00,1.00,0.50,0,0,0,0,0,0,0,0,0,0.6,1.0,-0.5,0.0,0.0,0.0,0,,,
399,Jake Chelios\chelija01,27,DET,D,5,0,0.00,0.00,0.00,0.00,0.40,1.00,0,0,0,0,1,0,1,0,0,2.3,3.4,-1.2,-0.1,0.2,0.1,0,,,
400,Jake Debrusk\debruja01,22,BOS,LW,68,19,0.40,0.22,0.62,0.27,0.26,2.29,27,15,42,19,74,31,43,2,2,40.3,33.5,6.7,3.8,1.4,5.2,5,1,4,20.0
401,Jake Dotchin\dotchja01,24,ANA,D,20,0,0.00,0.05,0.05,0.01,1.95,0.35,0,1,1,0,6,0,12,2,-4,6.5,12.8,-6.3,-0.2,0.3,0.1,0,,,
402,Jake Gardiner\gardija01,28,TOR,D,62,9,0.05,0.44,0.48,0.14,0.42,1.26,3,27,30,9,78,10,49,0,19,62.4,50.3,12.1,1.7,3.4,5.2,0,,,
403,Jake Guentzel\guentja01,24,PIT,C,82,31,0.49,0.44,0.93,0.38,0.32,2.77,40,36,76,32,110,22,80,5,13,73.5,57.0,16.5,7.2,2.2,9.4,2,1,1,50.0
404,Jake McCabe\mccabja01,25,BUF,D,59,5,0.07,0.17,0.24,0.08,0.59,1.08,4,10,14,5,40,0,60,16,-4,37.7,43.5,-5.8,0.4,2.6,3.0,0,,,
405,Jake Muzzin\muzzija01,29,TOT,D,80,13,0.11,0.35,0.46,0.16,0.59,1.76,9,28,37,13,82,8,69,16,21,67.7,63.2,4.5,2.6,5.3,7.8,0,,,
406,Jake Virtanen\virtaja01,22,VAN,RW,70,11,0.21,0.14,0.36,0.16,0.63,2.20,15,10,25,11,40,6,38,0,-4,30.7,47.3,-16.6,1.2,1.2,2.4,0,,,
407,Jakob Chychrun\chychja01,20,ARI,D,53,7,0.09,0.28,0.38,0.13,0.53,2.21,5,15,20,7,46,18,40,0,-12,38.8,35.3,3.5,1.3,2.1,3.4,0,,,
408,Jakob Forsbacka Karlsson\forsbja01,22,BOS,C,28,3,0.11,0.21,0.32,0.12,0.07,0.75,3,6,9,3,11,1,11,2,1,15.7,12.4,3.3,0.3,0.4,0.7,0,,,
409,Jakob Silfverberg\silfvja01,28,ANA,LW,73,18,0.33,0.26,0.59,0.25,0.38,2.23,24,19,43,18,56,19,64,18,-9,37.2,44.2,-7.0,3.3,1.3,4.7,2,0,2,0.0
410,Jakub Jerabek\jerabja01,27,STL,D,1,0,0.00,0.00,0.00,0.00,2.00,1.00,0,0,0,0,0,0,3,0,-3,0.2,1.0,-0.8,0.0,-0.2,-0.2,0,,,
411,Jakub Voracek\voracja01,29,PHI,RW,78,23,0.26,0.59,0.85,0.29,0.32,2.69,20,46,66,23,95,29,83,1,-16,54.5,51.2,3.3,4.5,0.9,5.4,4,1,3,25.0
412,Jakub Vrana\vranaja01,22,WSH,LW,82,19,0.29,0.28,0.57,0.23,0.33,1.96,24,23,47,19,67,5,41,0,20,42.9,45.2,-2.3,3.8,1.8,5.6,1,1,0,100.0
413,Jakub Zboril\zborija01,21,BOS,D,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.7,0.5,0.2,0.0,0.0,0.0,0,,,
414,James Neal\nealja01,31,CGY,LW,63,7,0.11,0.19,0.30,0.11,0.44,2.24,7,12,19,7,39,10,34,0,-5,30.6,33.1,-2.4,-0.1,0.6,0.6,3,0,3,0.0
415,James Reimer\reimeja01,30,FLA,G,36,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,94,22,92,18,0,62.1,64.9,,0.0,0.0,4.2,0,,,
416,James van Riemsdyk\vanrija01,29,PHI,LW,66,20,0.41,0.32,0.73,0.30,0.27,2.53,27,21,48,20,72,22,60,0,-10,36.4,43.4,-7.0,4.4,0.8,5.2,3,0,3,0.0
417,Jamie Benn\bennja01,29,DAL,LW,78,22,0.35,0.33,0.68,0.28,0.72,2.42,27,26,53,22,90,28,52,4,14,57.7,50.7,7.1,4.0,2.6,6.6,3,1,2,33.3
418,Jamie McGinn\mcginja01,30,FLA,LW,19,3,0.21,0.16,0.37,0.16,0.32,1.21,4,3,7,3,9,2,12,0,-5,7.8,8.9,-1.1,0.5,0.1,0.6,0,,,
419,Jamie Oleksiak\oleksja01,26,TOT,D,57,4,0.07,0.14,0.21,0.08,0.79,0.96,4,8,12,4,36,0,32,1,5,34.9,33.6,1.3,0.6,2.1,2.7,0,,,
420,Jan Rutta\ruttaja02,28,TOT,D,37,3,0.05,0.16,0.22,0.07,0.43,1.14,2,6,8,3,29,0,30,5,4,21.8,23.3,-1.5,0.3,1.2,1.5,0,,,
421,Janne Kuokkanen\kuokkja01,20,CAR,C/LW,7,0,0.00,0.00,0.00,0.00,0.57,0.86,0,0,0,0,3,2,3,0,-2,1.2,1.6,-0.5,-0.2,0.0,-0.2,1,0,1,0.0
422,Jared McCann\mccanja01,22,TOT,C,78,15,0.24,0.21,0.45,0.19,0.40,1.92,19,16,35,15,52,6,55,8,-1,36.3,40.7,-4.4,2.2,1.2,3.5,0,,,
423,Jared Spurgeon\spurgja01,29,MIN,D,82,15,0.17,0.35,0.52,0.19,0.24,1.85,14,29,43,16,96,25,98,25,-1,68.2,58.1,10.1,3.3,5.5,8.8,0,,,
424,Jaret Anderson-Dolan\anderja01,19,LAK,C,5,0,0.00,0.20,0.20,0.05,0.00,1.20,0,1,1,0,2,0,4,0,-2,1.5,2.3,-0.8,-0.1,0.0,-0.1,0,,,
425,Jaroslav Halak\halakja01,33,BOS,G,40,1,0.00,0.10,0.10,0.03,0.00,0.00,0,4,4,1,117,34,90,27,0,76.0,80.0,,0.0,0.0,8.0,0,,,
426,Jason Demers\demerja01,30,ARI,D,35,3,0.06,0.17,0.23,0.08,0.34,1.11,2,6,8,3,26,2,21,5,9,23.1,26.9,-3.8,0.2,2.7,2.8,0,,,
427,Jason Dickinson\dickija01,23,DAL,C,67,8,0.09,0.24,0.33,0.11,0.34,1.40,6,16,22,8,31,0,31,9,9,35.1,32.6,2.5,0.3,1.6,1.9,0,,,
428,Jason Garrison\garrija01,34,EDM,D,17,1,0.06,0.00,0.06,0.03,0.47,0.94,1,0,1,1,7,1,8,3,1,9.3,9.1,0.2,-0.1,0.5,0.5,0,,,
429,Jason Pominville\pominja01,36,BUF,RW,73,13,0.22,0.21,0.42,0.17,0.05,1.84,16,15,31,13,46,4,47,0,-4,38.6,35.1,3.5,2.2,1.0,3.2,3,1,2,33.3
430,Jason Spezza\spezzja01,35,DAL,C,76,9,0.11,0.25,0.36,0.12,0.38,1.59,8,19,27,10,52,27,39,1,-13,33.4,32.2,1.2,0.7,1.0,1.7,1,0,1,0.0
431,Jason Zucker\zuckeja01,27,MIN,LW,81,17,0.26,0.26,0.52,0.21,0.35,2.64,21,21,42,17,64,22,52,0,-9,55.7,45.8,9.8,2.4,1.7,4.1,4,1,3,25.0
432,Jay Beagle\beaglja01,33,VAN,RW/C,57,4,0.05,0.18,0.23,0.08,0.32,0.79,3,10,13,4,22,0,47,17,-8,20.4,28.2,-7.9,-0.5,0.7,0.1,0,,,
433,Jay Bouwmeester\bouwmja01,35,STL,D,78,5,0.04,0.18,0.22,0.07,0.51,1.05,3,14,17,5,49,1,72,21,-3,59.1,59.7,-0.6,0.0,3.4,3.5,0,,,
434,Jayce Hawryluk\hawryja01,23,FLA,C,42,5,0.17,0.12,0.29,0.12,0.38,0.83,7,5,12,5,16,1,23,0,-8,15.4,18.4,-3.0,0.8,0.2,1.0,0,,,
435,Jaycob Megna\megnaja02,26,ANA,D,28,1,0.04,0.11,0.14,0.05,0.43,1.11,1,3,4,1,12,0,20,7,-1,14.2,13.4,0.8,0.0,1.0,1.0,0,,,
436,Jean-Gabriel Pageau\pageaje01,26,OTT,C,39,4,0.10,0.21,0.31,0.11,0.36,2.13,4,8,12,4,18,2,34,6,-12,21.0,26.5,-5.4,-0.4,0.3,0.0,0,,,
437,Jean-Sebastien Dea\deaje01,24,TOT,C,23,3,0.17,0.09,0.26,0.12,0.35,1.26,4,2,6,3,7,0,8,1,0,8.3,8.1,0.2,0.4,0.3,0.7,0,,,
438,Jeff Carter\carteje01,34,LAK,C,76,13,0.17,0.26,0.43,0.17,0.55,2.29,13,20,33,13,60,22,74,16,-20,37.0,47.2,-10.1,0.8,1.1,2.0,0,,,
439,Jeff Petry\petryje01,31,MTL,D,82,16,0.16,0.40,0.56,0.19,0.34,2.10,13,33,46,16,102,16,111,20,-5,76.0,68.1,8.0,3.6,3.2,6.8,0,,,
440,Jeff Skinner\skinnje01,26,BUF,C,82,28,0.49,0.28,0.77,0.34,0.44,3.27,40,23,63,28,107,30,78,1,0,64.4,56.4,8.0,6.1,2.0,8.0,1,0,1,0.0
441,Jeremy Lauzon\lauzoje01,21,BOS,D,16,1,0.06,0.00,0.06,0.03,0.13,0.69,1,0,1,1,3,0,9,5,-1,9.3,7.3,2.0,-0.1,0.5,0.4,0,,,
442,Jesper Bratt\brattje01,20,NJD,W,51,11,0.16,0.49,0.65,0.22,0.12,1.78,8,25,33,11,41,11,38,0,-8,29.9,33.0,-3.1,2.0,0.8,2.8,2,0,2,0.0
443,Jesper Fast\fastje01,27,NYR,RW,66,8,0.12,0.18,0.30,0.12,0.39,1.21,8,12,20,8,37,0,52,12,-3,36.4,39.9,-3.5,-0.1,1.1,1.1,0,,,
444,Jesperi Kotkaniemi\kotkaje01,18,MTL,C,79,12,0.14,0.29,0.43,0.15,0.33,1.70,11,23,34,12,46,9,36,0,1,43.0,32.8,10.2,1.5,1.1,2.6,1,0,1,0.0
445,Jesse Puljujarvi\puljuje01,20,EDM,RW,46,4,0.09,0.11,0.20,0.08,0.35,1.15,4,5,9,4,16,2,28,0,-14,17.9,22.6,-4.7,-0.2,0.1,-0.1,0,,,
446,Jimmy Howard\howarja02,34,DET,G,55,0,0.00,0.02,0.02,0.00,0.04,0.00,0,1,1,0,139,25,155,41,0,104.8,125.6,,0.0,0.0,9.3,0,,,
447,Jimmy Schuldt\schulja01,23,VEG,D,1,0,0.00,1.00,1.00,0.28,0.00,1.00,0,1,1,0,2,0,3,0,-1,0.5,1.2,-0.7,0.1,0.0,0.0,0,,,
448,Jimmy Vesey\veseyji02,25,NYR,LW,81,14,0.21,0.22,0.43,0.17,0.26,1.90,17,18,35,14,58,12,68,16,-6,47.5,54.8,-7.4,1.6,1.3,2.9,3,1,2,33.3
449,Joakim Nordstrom\nordsjo02,26,BOS,C,70,5,0.10,0.07,0.17,0.07,0.19,1.47,7,5,12,5,26,0,39,13,0,26.6,33.6,-7.0,-0.7,1.2,0.4,0,,,
450,Joakim Ryan\ryanjo02,25,SJS,D,44,2,0.00,0.16,0.16,0.04,0.34,0.80,0,7,7,2,30,0,32,1,-1,27.2,25.6,1.6,0.0,0.9,0.9,0,,,
451,Joe Hicketts\hickejo01,22,DET,D,11,0,0.00,0.00,0.00,0.00,0.00,1.45,0,0,0,0,2,0,17,6,-9,5.1,9.6,-4.5,-0.2,-0.2,-0.5,0,,,
452,Joe Pavelski\paveljo01,34,SJS,C,75,27,0.51,0.35,0.85,0.36,0.29,2.51,38,26,64,28,96,36,74,10,-4,62.8,49.7,13.1,6.1,1.2,7.3,3,0,3,0.0
453,Joe Thornton\thornjo01,39,SJS,C,73,18,0.22,0.48,0.70,0.25,0.27,1.23,16,35,51,18,76,22,45,0,8,49.3,36.1,13.2,3.5,1.4,4.8,0,,,
454,Joel Armia\armiajo01,25,MTL,RW,57,10,0.23,0.18,0.40,0.17,0.25,2.35,13,10,23,10,39,10,37,8,0,34.4,27.1,7.3,1.1,0.9,2.0,1,1,0,100.0
455,Joel Edmundson\edmunjo01,25,STL,D,64,4,0.03,0.14,0.17,0.05,1.06,1.59,2,9,11,4,52,0,62,18,8,47.7,45.2,2.5,-0.2,3.4,3.2,0,,,
456,Joel Eriksson Ek\eriksjo02,22,MIN,C,58,6,0.12,0.12,0.24,0.10,0.34,1.91,7,7,14,6,26,1,42,10,-7,31.9,22.8,9.1,-0.1,0.9,0.8,0,,,
457,Joel Hanley\hanlejo01,27,DAL,D,16,0,0.00,0.00,0.00,0.00,0.13,0.56,0,0,0,0,5,0,6,1,0,10.1,6.8,3.3,-0.3,0.6,0.4,0,,,
458,Joel L'Esperance\lespejo01,23,DAL,RW,18,1,0.11,0.00,0.11,0.06,0.33,1.33,2,0,2,1,3,2,5,0,-4,6.5,7.7,-1.2,-0.2,0.2,0.0,0,,,
459,Joey Anderson\anderjo08,20,NJD,RW,34,3,0.12,0.09,0.21,0.09,0.18,1.44,4,3,7,3,12,0,19,0,-7,15.9,15.9,0.0,-0.1,0.3,0.2,0,,,
460,Joey Daccord\daccojo01,22,OTT,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,2,0,5,2,0,1.2,2.3,,0.0,0.0,0.1,0,,,
461,Johan Larsson\larssjo02,26,BUF,LW/C,73,5,0.08,0.11,0.19,0.07,0.51,1.08,6,8,14,5,28,0,56,20,-8,30.2,34.5,-4.3,-0.9,1.0,0.1,0,,,
462,John Carlson\carlsjo01,29,WSH,D,80,22,0.16,0.71,0.88,0.28,0.43,2.31,13,57,70,23,155,46,111,22,21,66.7,70.6,-3.9,5.8,4.7,10.5,1,0,1,0.0
463,John Gibson\gibsojo02,25,ANA,G,58,0,0.00,0.00,0.00,0.00,0.03,0.00,0,0,0,0,133,22,153,37,0,103.2,137.8,,0.0,0.0,11.6,0,,,
464,John Gilmour\gilmojo01,25,NYR,D,5,0,0.00,0.00,0.00,0.00,0.80,1.80,0,0,0,0,1,0,4,0,-3,3.5,5.8,-2.4,-0.1,-0.1,-0.2,0,,,
465,John Hayden\haydejo01,23,CHI,C,54,2,0.06,0.04,0.09,0.04,0.50,0.78,3,2,5,2,14,2,28,4,-12,16.3,21.3,-5.0,-0.6,0.0,-0.6,0,,,
466,John Klingberg\klingjo01,26,DAL,D,64,15,0.16,0.55,0.70,0.23,0.19,2.39,10,35,45,15,85,28,60,9,6,60.9,54.5,6.3,3.6,4.9,8.5,2,0,2,0.0
467,John Moore\moorejo01,28,BOS,D,61,5,0.07,0.15,0.21,0.07,0.43,1.59,4,9,13,5,42,3,51,12,0,36.0,44.6,-8.6,0.3,2.5,2.8,0,,,
468,John Quenneville\quennjo02,22,NJD,C,19,1,0.05,0.00,0.05,0.03,0.21,0.84,1,0,1,1,6,0,7,0,-1,7.2,9.4,-2.2,-0.4,0.3,-0.1,1,0,1,0.0
469,John Tavares\tavarjo01,28,TOR,C,82,37,0.57,0.50,1.07,0.45,0.41,3.49,48,41,89,37,133,34,84,4,19,81.8,66.2,15.6,9.3,2.0,11.3,2,0,2,0.0
470,Johnny Boychuk\boychjo01,35,NYI,D,74,6,0.04,0.22,0.26,0.08,0.34,2.12,3,16,19,6,60,3,66,18,10,52.1,56.8,-4.6,0.5,4.0,4.5,0,,,
471,Johnny Gaudreau\gaudrjo01,25,CGY,LW,82,36,0.44,0.77,1.21,0.44,0.29,2.99,36,63,99,37,130,42,72,1,18,71.4,57.5,13.9,8.8,2.1,10.9,2,0,2,0.0
472,Jon Marchessault\audymjo01,28,VEG,C,82,23,0.30,0.41,0.72,0.28,0.63,3.39,25,34,59,23,94,25,68,0,2,60.8,50.3,10.6,4.5,1.8,6.3,3,0,3,0.0
473,Jonas Brodin\brodijo01,25,MIN,D,82,6,0.05,0.17,0.22,0.07,0.37,1.35,4,14,18,6,49,3,75,15,-15,59.9,53.1,6.8,0.1,3.6,3.7,0,,,
474,Jonas Siegenthaler\siegejo01,21,WSH,D,26,1,0.00,0.15,0.15,0.04,0.38,0.46,0,4,4,1,14,0,11,3,6,14.0,9.5,4.5,-0.1,1.0,1.0,0,,,
475,Jonathan Bernier\bernijo01,30,DET,G,35,0,0.00,0.00,0.00,0.00,0.00,0.03,0,0,0,0,72,14,98,13,0,57.3,75.3,,0.0,0.0,5.1,0,,,
476,Jonathan Drouin\drouijo01,23,MTL,LW,81,19,0.22,0.43,0.65,0.24,0.32,2.35,18,35,53,19,77,22,64,0,-8,52.3,52.0,0.3,3.3,1.1,4.4,3,2,1,66.7
477,Jonathan Ericsson\ericsjo01,34,DET,D,52,2,0.06,0.04,0.10,0.04,0.67,0.92,3,2,5,2,26,0,50,14,-10,25.3,43.5,-18.2,-0.3,1.2,0.9,0,,,
478,Jonathan Huberdeau\huberjo01,25,FLA,C,82,33,0.37,0.76,1.12,0.40,0.49,2.76,30,62,92,33,120,48,87,1,-14,59.2,59.1,0.1,7.8,1.3,9.1,8,4,4,50.0
479,Jonathan Quick\quickjo01,33,LAK,G,46,1,0.00,0.04,0.04,0.01,0.13,0.00,0,2,2,1,110,18,149,28,0,87.3,95.6,,0.0,0.0,4.3,0,,,
480,Jonathan Toews\toewsjo01,30,CHI,C,82,31,0.43,0.56,0.99,0.38,0.49,2.87,35,46,81,32,124,40,112,29,2,64.3,69.1,-4.8,6.7,1.5,8.3,4,3,1,75.0
481,Jonathon Merrill\merrijo01,26,VEG,D,57,5,0.05,0.21,0.26,0.09,0.93,1.26,3,12,15,5,48,0,38,6,16,48.5,32.4,16.1,0.6,3.4,4.0,0,,,
482,Jonny Brodzinski\brodzjo01,25,LAK,C,13,1,0.15,0.08,0.23,0.11,0.15,1.31,2,1,3,1,6,1,5,0,0,3.9,3.8,0.1,0.1,0.2,0.3,0,,,
483,Joonas Donskoi\donskjo01,26,SJS,RW,80,14,0.18,0.29,0.46,0.17,0.13,1.44,14,23,37,14,59,5,45,1,10,52.1,39.6,12.4,2.1,1.4,3.4,1,0,1,0.0
484,Joonas Korpisalo\korpijo01,24,CBJ,G,27,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,66,12,67,12,0,52.7,50.2,,0.0,0.0,2.7,0,,,
485,Jordan Binnington\binnijo01,25,STL,G,32,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,102,19,59,13,0,84.5,57.0,,0.0,0.0,6.0,0,,,
486,Jordan Eberle\eberljo01,28,NYI,RW,78,15,0.24,0.23,0.47,0.20,0.22,2.05,19,18,37,15,65,23,48,1,-6,52.8,51.5,1.3,2.1,1.3,3.4,6,1,5,16.7
487,Jordan Greenway\greenjo02,21,MIN,LW,81,10,0.15,0.15,0.30,0.12,0.36,1.35,12,12,24,10,36,4,44,0,-12,40.2,36.1,4.1,0.5,1.1,1.7,0,,,
488,Jordan Kyrou\kyroujo01,20,STL,C,16,1,0.06,0.13,0.19,0.07,0.25,1.00,1,2,3,1,4,0,5,0,-1,6.5,8.8,-2.3,0.0,0.2,0.1,0,,,
489,Jordan Martinook\martijo01,26,CAR,LW,82,11,0.18,0.12,0.30,0.13,0.46,1.78,15,10,25,11,49,0,64,16,1,52.3,38.1,14.3,0.8,1.5,2.2,0,,,
490,Jordan Nolan\nolanjo01,29,STL,C,14,1,0.00,0.14,0.14,0.04,1.00,1.21,0,2,2,1,7,0,5,0,2,5.7,5.8,-0.1,-0.1,0.2,0.1,0,,,
491,Jordan Oesterle\oestejo01,26,ARI,D,71,7,0.08,0.20,0.28,0.10,0.17,1.08,6,14,20,7,59,10,57,5,-3,45.3,50.7,-5.4,1.1,3.6,4.6,0,,,
492,Jordan Schmaltz\schmajo01,25,STL,D,20,1,0.00,0.10,0.10,0.03,0.10,0.55,0,2,2,1,6,0,14,1,-7,8.6,10.6,-1.9,-0.1,0.0,-0.1,0,,,
493,Jordan Staal\staaljo01,30,CAR,C,50,11,0.22,0.34,0.56,0.21,0.52,2.42,11,17,28,11,45,7,42,10,6,41.2,27.0,14.2,1.4,1.3,2.7,0,,,
494,Jordan Weal\wealjo01,26,TOT,C,63,8,0.13,0.21,0.33,0.12,0.29,1.19,8,13,21,8,34,8,34,0,-8,33.1,24.0,9.1,0.5,0.7,1.2,0,,,
494,Jordan Weal\wealjo01,26,PHI,C,28,3,0.11,0.21,0.32,0.11,0.57,1.18,3,6,9,3,12,2,15,0,-5,14.8,9.8,5.0,0.1,0.2,0.3,1,1,0,100.0
494,Jordan Weal\wealjo01,26,MTL,C,16,4,0.25,0.38,0.63,0.24,0.13,1.88,4,6,10,4,15,5,10,0,0,12.1,6.0,6.1,0.7,0.3,1.0,1,0,1,0.0
495,Jordie Benn\bennjo01,31,MTL,D,81,7,0.06,0.21,0.27,0.09,0.48,1.15,5,17,22,7,71,0,80,23,15,55.4,50.4,5.1,0.9,4.0,4.8,0,,,
496,Jori Lehtera\lehtejo01,31,PHI,C,27,1,0.04,0.07,0.11,0.04,1.22,0.63,1,2,3,1,6,0,20,8,-7,6.5,7.2,-0.7,-0.3,0.0,-0.3,0,,,
497,Joseph Blandisi\blandjo01,24,TOT,C,9,0,0.00,0.00,0.00,0.00,0.67,0.89,0,0,0,0,2,0,3,0,-1,1.7,2.7,-1.0,-0.2,0.0,-0.1,0,,,
498,Joseph Gambardella\gambajo01,25,EDM,C,15,1,0.00,0.20,0.20,0.05,0.13,0.47,0,3,3,1,6,0,4,0,2,2.9,4.5,-1.6,0.0,0.2,0.2,0,,,
499,Joseph Morrow\morrojo02,26,WPG,D,41,2,0.02,0.15,0.17,0.05,0.49,0.98,1,6,7,2,29,0,30,0,0,22.1,26.4,-4.3,0.1,1.0,1.1,0,,,
500,Josh Anderson\anderjo05,24,CBJ,RW,82,20,0.33,0.24,0.57,0.25,0.73,2.80,27,20,47,20,81,12,55,11,25,57.9,52.6,5.3,3.7,2.5,6.2,0,,,
501,Josh Archibald\archijo01,26,ARI,RW,68,10,0.18,0.15,0.32,0.14,0.22,1.35,12,10,22,9,34,0,43,10,1,27.6,34.2,-6.5,1.0,1.4,2.4,0,,,
502,Josh Bailey\bailejo01,29,NYI,C,82,20,0.20,0.49,0.68,0.24,0.26,1.54,16,40,56,20,77,19,50,0,8,56.1,50.7,5.4,3.4,2.0,5.4,9,3,6,33.3
503,Josh Brown\brownjo01,25,FLA,D,37,1,0.03,0.03,0.05,0.02,0.76,0.76,1,1,2,1,12,0,18,3,-3,15.4,17.5,-2.0,-0.3,0.8,0.5,0,,,
504,Josh Currie\currijo01,26,EDM,RW,21,2,0.10,0.14,0.24,0.09,0.10,0.90,2,3,5,2,7,0,5,0,2,6.3,6.3,0.0,0.2,0.3,0.5,0,,,
505,Josh Leivo\leivojo01,25,TOT,LW,76,10,0.18,0.13,0.32,0.14,0.42,1.99,14,10,24,10,55,17,33,0,5,37.5,35.7,1.9,0.9,1.4,2.3,0,,,
505,Josh Leivo\leivojo01,25,VAN,LW,49,8,0.20,0.16,0.37,0.16,0.51,2.31,10,8,18,8,44,13,27,0,4,27.9,28.5,-0.6,0.7,1.1,1.8,3,1,2,33.3
506,Josh Mahura\mahurjo01,20,ANA,D,17,2,0.06,0.24,0.29,0.10,0.24,1.18,1,4,5,2,12,4,8,0,0,7.5,14.9,-7.4,0.3,0.6,0.9,0,,,
507,Josh Manson\mansojo01,27,ANA,D,74,5,0.04,0.18,0.22,0.07,0.84,1.30,3,13,16,5,54,0,88,26,-8,48.2,64.1,-15.8,-0.1,3.6,3.5,0,,,
508,Josh Morrissey\morrijo04,23,WPG,D,59,10,0.10,0.42,0.53,0.17,0.24,1.61,6,25,31,10,77,15,74,22,9,46.1,49.4,-3.3,2.1,3.1,5.2,0,,,
509,Josh Teves\tevesjo01,23,VAN,D,1,0,0.00,0.00,0.00,0.00,2.00,0.00,0,0,0,0,0,0,1,0,-1,0.9,0.4,0.5,0.0,0.0,-0.1,0,,,
510,Joshua Ho-Sang\hosanjo01,23,NYI,C/RW,10,1,0.10,0.10,0.20,0.08,0.60,1.00,1,1,2,1,6,3,1,0,2,5.3,4.0,1.4,-0.1,0.3,0.1,0,,,
511,Joshua Jacobs\jacobjo01,22,NJD,D,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.3,0.5,-0.2,0.0,0.0,-0.1,0,,,
512,Juho Lammikko\lammiju01,23,FLA,RW,40,2,0.00,0.15,0.15,0.04,0.15,0.98,0,6,6,2,9,0,24,8,-7,11.2,13.8,-2.6,-0.6,0.3,-0.4,0,,,
513,Jujhar Khaira\khairju01,24,EDM,LW,60,6,0.05,0.25,0.30,0.10,0.72,1.07,3,15,18,6,26,1,47,10,-12,26.0,25.8,0.2,0.0,0.4,0.4,1,0,1,0.0
514,Julius Honka\honkaju01,23,DAL,D,29,1,0.00,0.14,0.14,0.04,0.34,1.31,0,4,4,1,17,0,20,1,-2,18.3,15.1,3.2,-0.1,1.0,0.9,0,,,
515,Justin Abdelkader\abdelju01,31,DET,LW,71,7,0.08,0.18,0.27,0.10,0.54,1.34,6,13,19,7,33,5,56,14,-14,33.0,45.1,-12.2,-0.5,0.7,0.1,2,0,2,0.0
516,Justin Bailey\baileju01,23,PHI,RW,11,0,0.00,0.09,0.09,0.02,0.18,0.45,0,1,1,0,2,0,2,0,0,1.3,2.3,-1.0,-0.1,0.1,0.0,0,,,
517,Justin Braun\braunju01,31,SJS,D,78,5,0.03,0.18,0.21,0.06,0.45,1.35,2,14,16,5,49,1,89,27,-14,56.5,51.6,4.9,-0.1,1.8,1.6,0,,,
518,Justin Dowling\dowliju01,28,DAL,C,11,0,0.00,0.09,0.09,0.02,0.00,0.82,0,1,1,0,5,3,6,0,-4,4.5,3.9,0.6,-0.3,0.1,-0.2,0,,,
519,Justin Falk\falkju01,30,OTT,D,10,0,0.00,0.00,0.00,0.00,1.10,0.70,0,0,0,0,2,0,6,0,-4,3.2,5.2,-2.1,-0.2,0.0,-0.2,0,,,
520,Justin Faulk\faulkju01,26,CAR,D,82,13,0.13,0.29,0.43,0.15,0.57,2.65,11,24,35,13,104,31,78,14,9,65.7,57.8,7.9,2.5,4.9,7.4,0,,,
521,Justin Holl\hollju01,27,TOR,D,11,0,0.00,0.09,0.09,0.02,0.18,0.55,0,1,1,0,6,0,12,0,-5,5.9,7.4,-1.6,-0.1,-0.2,-0.2,0,,,
522,Justin Kloos\kloosju01,25,ANA,C,1,0,0.00,0.00,0.00,0.00,0.00,2.00,0,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.0,0.0,0.0,0,,,
523,Justin Schultz\schulju01,28,PIT,D,29,5,0.07,0.45,0.52,0.16,0.14,1.62,2,13,15,5,35,13,23,1,0,21.0,24.5,-3.4,1.0,1.0,2.0,0,,,
524,Justin Williams\williju01,37,CAR,RW,82,21,0.28,0.37,0.65,0.25,0.54,2.89,23,30,53,21,87,29,62,0,-4,65.6,41.8,23.8,3.8,1.6,5.3,2,0,2,0.0
525,Juuse Saros\sarosju01,23,NSH,G,31,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,89,7,74,15,0,53.7,59.5,,0.0,0.0,5.3,0,,,
